timestamp,voltage(V),current(A),temperature(C),SoC(%),cycleCount
1763134738,4.004,-0.685,30.06,79.99,50
1763134762,4.019,-0.791,30.13,79.98,50
1763134762,4.039,-1.480,30.39,79.97,50
1763134762,4.004,-0.790,30.33,79.96,50
1763134762,4.001,-0.973,30.49,79.95,50
1763134762,3.982,-0.414,30.41,79.94,50
1763134762,3.996,-0.711,30.49,79.94,50
1763134762,4.029,-1.044,30.51,79.92,50
1763134762,4.034,-1.520,30.75,79.91,50
1763134762,4.012,-1.062,30.71,79.89,50
1763134762,3.959,-0.395,30.93,79.89,50
1763134871,3.985,-0.598,30.85,79.88,50
